volume_key 0.3.12-2
vte-common 0.60.2-1
vte3 0.60.2-1
vulkan-icd-loader 1.2.137-1
wavpack 5.2.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.2-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
whois 5.5.6-1
wildmidi 0.4.3-1
wireless_tools 30.pre9-3
woff2 1.0.2-1
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xcb-proto 1.14-1
xcb-util 0.4.0-2
xdg-dbus-proxy 0.1.2-1
xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-gtk 1.7.1-1
xdg-user-dirs 0.17-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xf86-input-libinput 0.29.0-2
xf86-video-amdgpu 19.1.0-1
xfsprogs 5.6.0-1
xkeyboard-config 2.29-1
xmlsec 1.2.30-1
xorg-server 1.20.8-1
xorg-server-common 1.20.8-1
xorg-server-xwayland 1.20.8-1
xorg-setxkbmap 1.3.2-1
xorg-xhost 1.0.8-1
xorg-xkbcomp 1.4.3-1
xorg-xmodmap 1.0.10-1
xorg-xrdb 1.2.0-1
xorgproto 2020.1-1
xvidcore 1.3.7-1
xz 5.2.5-1
yajl 2.1.0-2
yelp 3.36.0-1
yelp-xsl 3.36.0-1
zbar 0.23.1-1
zenity 3.32.0+17+gfb0938f-1
zeromq 4.3.2-1
zip 3.0-9
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zstd 1.4.4-1
zvbi 0.2.35-3
